time,value
0.000000,0.199060
0.046440,0.368160
0.069660,1.432442
0.092880,8.530743
0.116100,3.861112
0.139320,10.191071
0.162540,11.457266
0.185760,22.135130
0.208980,62.000744
0.232200,45.296822
0.255419,32.999550
0.278639,35.967400
0.301859,26.255932
0.325079,49.385952
0.348299,67.080498
0.371519,26.243231
0.394739,69.592453
0.417959,29.252615
0.441179,56.392159
0.464399,43.123314
0.487619,48.047222
0.510839,39.846703
0.534059,95.268501
0.557279,65.759583
0.580499,28.574860
0.603719,94.799507
0.626939,63.417713
0.650159,57.975281
0.673379,132.687790
0.696599,40.971321
0.719819,124.038605
0.743039,67.791656
0.766258,58.484509
0.789478,169.066742
0.812698,35.555252
0.835918,58.681332
0.859138,95.523460
0.882358,50.557060
0.905578,75.896843
0.928798,104.862740
0.952018,85.430145
0.975238,83.421814
0.998458,203.964417
1.021678,63.864166
1.044898,115.082359
1.068118,204.034790
1.091338,132.858231
1.114558,243.758255
1.137778,89.032303
1.160998,138.336655
1.184218,146.988144
1.207438,176.182373
1.230658,202.442902
1.253878,171.344543
1.277097,230.225616
1.300317,197.715347
1.323537,201.736343
1.346757,200.568115
1.369977,252.193207
1.393197,264.164124
1.416417,231.095932
1.439637,279.946442
1.462857,302.317780
1.486077,314.098175
1.509297,262.504791
1.532517,240.903778
1.555737,302.689850
1.578957,328.111725
1.602177,269.075867
1.625397,310.085114
1.648617,280.118286
1.671837,296.028534
1.695057,161.962570
1.718277,193.052597
1.741497,330.466492
1.764717,357.350769
1.787936,352.244598
1.811157,324.372253
1.834376,208.630157
1.857596,365.549011
1.880816,234.552292
1.904036,281.696716
1.927256,291.093475
1.950476,297.109802
1.973696,270.215485
1.996916,243.439163
2.020136,184.750000
2.043356,334.058929
2.066576,197.609543
2.089796,261.304474
2.113016,177.068832
2.136236,264.087738
2.159456,231.570023
2.182676,216.786133
2.205896,271.520020
2.229116,240.574799
2.252336,258.633636
2.275556,294.406067
2.298775,246.128403
2.321995,369.148621
2.345215,427.726257
2.368435,245.149963
2.391655,250.308395
2.414875,257.594849
2.438095,284.714539
2.461315,410.063507
2.484535,212.080765
2.507755,318.941162
2.530975,211.094879
2.554195,218.449631
2.577415,157.551590
2.600635,227.346298
2.623855,131.462997
2.647075,178.658646
2.670295,167.710358
2.693515,198.713120
2.716735,239.226883
2.739955,241.674133
2.763175,222.062729
2.786395,244.702438
2.809614,209.503647
2.832834,226.992035
2.856054,151.891876
2.879274,197.208267
2.902494,224.333298
2.925714,226.621002
2.948934,205.704788
2.972154,244.083832
2.995374,228.549667
3.018594,158.383087
3.041814,248.943481
3.065034,254.012344
3.088254,283.707642
3.111474,236.940811
3.134694,211.083618
3.157914,263.005890
3.181134,313.306427
3.204354,294.762726
3.227574,202.255417
3.250794,153.452682
3.274014,256.406891
3.297234,236.251755
3.320453,184.210892
3.343673,217.230011
3.366894,209.662598
3.390113,130.702316
3.413333,103.156685
3.436553,108.450165
3.459773,128.457611
3.482993,128.872208
3.506213,107.825600
3.529433,148.757599
3.552653,138.453461
3.575873,121.883202
3.599093,158.097458
3.622313,117.085037
3.645533,96.151398
3.668753,114.379799
3.691973,127.248123
3.715193,100.147942
3.738413,122.477646
3.761633,118.687027
3.784853,137.259583
3.808073,99.788368
3.831293,96.152222
3.854512,105.921631
3.877733,119.074699
3.900952,112.400032
3.924172,95.113205
3.947392,110.246574
3.970612,104.223305
3.993832,104.811958
4.017052,175.597855
4.040272,197.597229
4.063492,96.066338
4.086712,137.994781
4.109932,80.019051
4.133152,112.188927
4.156372,133.904892
4.179592,98.399872
4.202812,72.444649
4.226032,105.645226
4.249252,88.369072
4.272471,79.432800
4.295691,98.786652
4.318912,82.646858
4.342132,166.504395
4.365352,121.013481
4.388571,88.176674
4.411791,126.507393
4.435011,110.739555
4.458231,166.450348
4.481451,92.681114
4.504671,55.789783
4.527891,71.775314
4.551111,121.252342
4.574331,84.211006
4.597551,67.663254
4.620771,155.596054
4.643991,269.393890
4.667211,215.799805
4.690431,248.075104
4.713651,122.903519
4.736871,179.637726
4.760091,172.416901
4.783311,99.013977
4.806530,169.223404
4.829751,113.026802
4.852971,104.908646
4.876191,240.989761
4.899410,179.289917
4.922630,70.010269
4.945850,121.325920
4.969070,99.331436
4.992290,109.445580
5.015510,97.874222
5.038730,80.515228
5.061950,195.231750
5.085170,108.057022
5.108390,70.634331
5.131610,123.392120
5.154830,130.623611
5.178050,106.941612
5.201270,146.449707
5.224490,120.952614
5.247710,135.535370
5.270930,68.613525
5.294150,124.021103
5.317369,132.784775
5.340590,171.460953
5.363810,80.246506
5.387030,94.171471
5.410249,163.783386
5.433469,130.870224
5.456689,101.663902
5.479909,141.367233
5.503129,223.354889
5.526349,158.886780
5.549569,153.991272
5.572789,163.606735
5.596009,159.744659
5.619229,151.380936
5.642449,163.320175
5.665669,139.561813
5.688889,135.588654
5.712109,285.894196
5.735329,218.527969
5.758549,166.118668
5.781769,102.749199
5.804989,236.405869
5.828208,275.605743
5.851429,244.468323
5.874649,179.546066
5.897869,226.297455
5.921088,142.066544
5.944308,101.513809
5.967528,86.346832
5.990748,70.446732
6.013968,73.531586
6.037188,96.980766
6.060408,133.537720
6.083628,74.862000
6.106848,78.890999
6.130068,117.644188
6.153288,105.627594
6.176508,84.121605
6.199728,44.354588
6.222948,94.722481
6.246168,125.591927
6.269388,121.879868
6.292608,92.728554
6.315828,99.140656
6.339047,249.171951
6.362267,133.442886
6.385488,216.879242
6.408708,218.563202
6.431927,136.996140
6.455147,210.529114
6.478367,146.702927
6.501587,84.909836
6.524807,101.423515
6.548027,173.137665
6.571247,173.980347
6.594467,118.637001
6.617687,137.201660
6.640907,72.811966
6.664127,99.533188
6.687347,97.420395
6.710567,73.125732
6.733787,163.180588
6.757007,60.697346
6.780227,78.334396
6.803447,34.641739
6.826667,61.430862
6.849886,38.440731
6.873106,132.754562
6.896327,63.411163
6.919547,64.611038
6.942767,48.224888
6.965986,54.780533
6.989206,95.975998
7.012426,94.647194
7.035646,73.231621
7.058866,38.980721
7.082086,79.505692
7.105306,75.671967
7.128526,78.501846
7.151746,51.543106
7.174966,65.265251
7.198186,123.320000
7.221406,62.660423
7.244626,57.632671
7.267846,42.865105
7.291066,87.356590
7.314286,114.924278
7.337506,61.161900
7.360725,57.649986
7.383945,104.284492
7.407166,233.332092
7.430386,104.708229
7.453606,37.978928
7.476825,29.079617
7.500045,131.186035
7.523265,138.018555
7.546485,94.058105
7.569705,46.120869
7.592925,102.391464
7.616145,115.082451
7.639365,69.205635
