time,value
0.000000,0.027805
0.046440,0.161599
0.069660,0.666302
0.092880,2.183007
0.116100,4.046995
0.139320,7.809051
0.162540,9.778250
0.185760,13.018130
0.208980,21.817398
0.232200,30.642220
0.255419,33.788879
0.278639,37.708828
0.301859,35.064518
0.325079,37.660820
0.348299,46.504250
0.371519,46.990082
0.394739,44.928627
0.417959,47.817890
0.441179,59.905258
0.464399,60.358788
0.487619,60.968586
0.510839,70.931915
0.534059,78.540039
0.557279,74.967667
0.580499,65.615036
0.603719,83.489235
0.626939,105.519859
0.650159,108.164520
0.673379,106.194084
0.696599,101.933304
0.719819,108.727814
0.743039,111.603714
0.766258,100.559761
0.789478,98.470818
0.812698,86.368950
0.835918,82.387650
0.859138,95.439049
0.882358,103.283203
0.905578,105.172592
0.928798,110.643127
0.952018,109.669876
0.975238,111.733208
0.998458,122.098816
1.021678,111.752655
1.044898,129.326859
1.068118,152.717041
1.091338,140.398148
1.114558,138.759140
1.137778,133.928162
1.160998,147.379959
1.184218,154.490601
1.207438,139.477814
1.230658,145.361099
1.253878,132.602341
1.277097,121.013336
1.300317,113.839302
1.323537,114.954163
1.346757,115.072746
1.369977,146.287430
1.393197,204.175507
1.416417,190.978394
1.439637,185.129196
1.462857,217.656998
1.486077,235.022629
1.509297,240.110001
1.532517,222.246475
1.555737,222.339355
1.578957,214.812561
1.602177,243.413010
1.625397,258.050018
1.648617,211.976044
1.671837,171.846771
1.695057,131.746292
1.718277,164.630585
1.741497,232.388260
1.764717,257.212097
1.787936,271.303558
1.811157,289.240906
1.834376,268.293396
1.857596,236.183029
1.880816,230.375320
1.904036,227.030365
1.927256,219.609146
1.950476,217.814575
1.973696,228.833618
1.996916,230.398422
2.020136,221.910568
2.043356,207.682953
2.066576,201.304001
2.089796,224.926102
2.113016,230.189224
2.136236,222.270233
2.159456,220.196823
2.182676,209.755966
2.205896,231.509079
2.229116,241.316589
2.252336,225.544785
2.275556,224.422867
2.298775,216.281296
2.321995,238.118179
2.345215,255.816162
2.368435,234.166199
2.391655,229.233078
2.414875,224.563934
2.438095,230.153473
2.461315,240.294510
2.484535,235.485397
2.507755,237.155594
2.530975,220.090759
2.554195,221.361252
2.577415,226.700928
2.600635,167.543777
2.623855,99.504189
2.647075,98.105110
2.670295,99.457176
2.693515,96.896706
2.716735,104.478172
2.739955,109.513657
2.763175,118.754082
2.786395,129.128891
2.809614,131.852234
2.832834,122.147644
2.856054,100.849510
2.879274,112.134247
2.902494,126.416740
2.925714,116.465027
2.948934,112.994812
2.972154,138.376953
2.995374,141.164719
3.018594,109.445091
3.041814,106.946098
3.065034,127.850578
3.088254,144.884384
3.111474,147.519150
3.134694,135.212601
3.157914,141.490921
3.181134,159.087296
3.204354,179.354538
3.227574,170.560089
3.250794,155.136444
3.274014,179.357758
3.297234,173.844345
3.320453,158.610886
3.343673,168.198608
3.366894,157.927582
3.390113,119.286713
3.413333,81.006844
3.436553,69.641220
3.459773,70.957748
3.482993,71.186195
3.506213,70.452164
3.529433,78.424774
3.552653,80.728363
3.575873,76.684410
3.599093,88.686264
3.622313,88.010773
3.645533,73.715355
3.668753,72.283539
3.691973,70.446449
3.715193,63.876160
3.738413,63.248962
3.761633,72.482651
3.784853,72.758003
3.808073,62.035332
3.831293,59.118557
3.854512,60.442165
3.877733,63.838692
3.900952,63.260235
3.924172,60.268593
3.947392,63.152679
3.970612,62.909008
3.993832,60.220440
4.017052,81.007568
4.040272,99.597244
4.063492,89.681221
4.086712,78.284042
4.109932,76.595169
4.133152,78.420509
4.156372,94.823303
4.179592,89.719986
4.202812,70.502014
4.226032,69.571815
4.249252,68.124390
4.272471,59.996887
4.295691,53.182346
4.318912,48.906139
4.342132,63.773014
4.365352,74.858604
4.388571,77.321953
4.411791,70.241135
4.435011,78.029327
4.458231,94.824547
4.481451,87.023766
4.504671,70.717949
4.527891,60.611141
4.551111,77.855270
4.574331,76.574379
4.597551,58.858421
4.620771,84.397461
4.643991,130.731445
4.667211,166.077347
4.690431,187.423691
4.713651,191.914658
4.736871,178.647156
4.760091,169.075790
4.783311,162.800308
4.806530,163.138214
4.829751,163.136078
4.852971,155.942368
4.876191,165.531754
4.899410,163.353119
4.922630,130.789413
4.945850,115.203857
4.969070,126.559555
4.992290,135.582413
5.015510,126.035126
5.038730,117.014420
5.061950,116.269699
5.085170,104.681259
5.108390,102.509781
5.131610,106.168587
5.154830,127.157120
5.178050,160.517975
5.201270,178.245087
5.224490,173.151993
5.247710,163.603302
5.270930,177.999252
5.294150,186.206284
5.317369,181.698196
5.340590,178.127579
5.363810,161.440140
5.387030,170.559875
5.410249,190.920898
5.433469,178.381104
5.456689,166.999756
5.479909,170.269409
5.503129,182.570160
5.526349,208.618362
5.549569,212.544312
5.572789,201.057907
5.596009,200.848969
5.619229,205.039932
5.642449,211.344452
5.665669,211.950165
5.688889,202.276352
5.712109,211.440704
5.735329,227.702698
5.758549,218.022720
5.781769,224.755661
5.804989,232.610016
5.828208,221.820938
5.851429,197.316025
5.874649,166.607819
5.897869,156.897781
5.921088,117.166321
5.944308,73.437920
5.967528,75.239906
5.990748,68.174690
6.013968,66.603241
6.037188,68.819717
6.060408,86.166466
6.083628,85.895889
6.106848,64.010887
6.130068,68.517502
6.153288,76.065430
6.176508,82.913963
6.199728,76.323914
6.222948,57.316334
6.246168,64.539955
6.269388,89.356056
6.292608,98.493088
6.315828,111.388016
6.339047,145.649551
6.362267,142.338806
6.385488,144.704376
6.408708,178.769165
6.431927,176.251389
6.455147,168.104111
6.478367,176.489441
6.501587,156.059006
6.524807,143.135056
6.548027,153.002121
6.571247,156.070389
6.594467,162.111740
6.617687,147.539276
6.640907,117.499283
6.664127,100.421791
6.687347,96.638550
6.710567,96.521133
6.733787,101.710403
6.757007,92.442612
6.780227,61.693439
6.803447,49.806915
6.826667,59.432339
6.849886,52.526066
6.873106,41.560150
6.896327,39.403358
6.919547,50.889767
6.942767,52.524887
6.965986,35.178474
6.989206,38.021706
7.012426,56.125065
7.035646,64.609077
7.058866,59.830173
7.082086,47.838451
7.105306,42.243732
7.128526,60.415508
7.151746,66.062637
7.174966,51.627445
7.198186,49.745071
7.221406,50.024719
7.244626,56.278801
7.267846,55.418411
7.291066,38.360855
7.314286,47.905220
7.337506,60.155014
7.360725,64.323616
7.383945,61.584507
7.407166,84.969200
7.430386,98.093712
7.453606,71.982292
7.476825,47.563152
7.500045,70.481140
7.523265,87.426346
7.546485,89.524300
7.569705,81.458237
7.592925,74.467239
7.616145,77.506203
7.639365,62.784904
7.662585,49.527664
7.685805,51.803520
7.709025,61.590549
7.732245,63.982300
7.755465,54.432064
7.778685,53.324745
7.801905,61.176731
7.825125,82.148003
7.848345,99.318054
7.871564,93.342575
7.894784,79.200981
7.918005,85.712097
7.941225,109.249313
7.964445,108.710091
7.987664,107.519844
8.010884,166.534546
8.034104,197.494324
8.057324,205.080627
8.080544,193.351120
8.103765,171.875992
8.126985,181.912842
8.150204,190.947815
8.173424,192.296127
8.196644,196.518478
8.219864,188.799408
8.243084,184.901321
8.266304,196.939392
8.289524,200.595871
8.312744,213.860382
8.335963,228.606628
8.359183,232.697021
8.382403,240.547974
8.405623,246.419449
8.428843,257.290100
8.452064,238.246826
8.475284,235.549362
8.498504,256.042084
8.521724,256.657257
8.544943,288.710724
8.568163,295.092896
8.591383,267.644226
8.614603,233.576797
8.637823,225.340042
8.661043,230.402985
8.684263,208.941055
8.707483,213.377274
8.730703,225.142715
8.753922,225.384979
8.777143,228.698074
8.800363,208.209473
8.823583,206.873169
8.846803,224.810883
8.870023,230.038925
8.893243,236.006958
8.916463,219.219406
8.939683,223.271988
8.962902,239.119522
8.986122,229.700165
9.009342,228.084549
9.032562,218.909393
9.055782,220.807037
9.079002,251.088684
9.102222,252.393509
9.125443,231.643646
9.148663,229.635742
9.171882,215.935852
9.195102,180.441483
9.218322,163.684784
9.241542,169.690033
9.264762,171.723251
9.287982,148.363983
9.311202,115.285469
9.334422,117.045242
9.357642,112.029892
9.380861,95.527229
9.404081,103.674950
9.427301,109.793701
9.450521,112.903397
